87	94	94.9231532023681	91.6615668201674
102	90	109.626466712655	87.7763041498008
177	67	183.506012102901	66.7088705534067
207	96	215.226196912519	95.8624622092847
252	97	258.925804329464	97.2293234553762
288	68	293.870039042180	68.6037098897718
313	90	320	90
372	86	379.487459227835	87.6779742823979
399	94	404.151992964465	95.6179811132730
450	81	455.203590228175	83.3310275002155
72	137	80.5535827734191	135.229506089160
141	109	148.254141841222	107.715630397816
151	132	158.928207495366	131.187788737284
211	103	219.059812805176	102.735984046368
252	119	259.163149498037	118.614132090537
262	122	268.787875935859	121.873550932149
316	122	322.695256428575	121.838201520049
365	128	372.261729718170	129.596780177163
406	136	412.335004592943	137.646074043763
435	129	441.232462172958	131.632623647070
76	157	84.6436529843815	155.783600982496
132	177	140.415009905181	176.007281319637
158	165	166.353737425806	164.512776560643
204	159	212.023513997604	158.848560308449
260	166	267.544676819218	166.091004893526
264	165	271.598964119725	165.346324664861
327	150	333.972744464315	149.665698799536
360	140	367.795077566731	141.860815983496
401	146	407.696217826643	147.554120181511
442	173	447.381721949751	175.596378815750
93	188	102.381400605628	186.900060328411
140	209	149.355325540244	207.547707552381
175	188	183.356400206562	187.172291239591
183	190	191.359511431409	189.416075377682
249	202	256.916925457965	201.976342540003
274	194	281.592756904650	193.769782801223
324	194	331.449103224069	194.048052754907
365	192	373.159751313986	193.466641200336
397	186	404.709321776576	187.766634938532
422	214	428.811317297188	216.128154945529
68	239	78.5332329147466	236.171450845222
123	228	133.064145257896	226.467075715780
156	233	166.201064931082	231.085826153549
210	243	218.468886016070	241.954155059553
258	230	266.066440591311	229.516142572108
277	255	285.485660097237	254.439049879967
305	244	313.848970556631	243.895587565380
372	231	380.449155457764	232.111071873034
416	237	424.207293143408	238.763296600335
455	235	462.560448236370	237.158910574899
71	269	82.0019527709782	266.435678938124
108	270	118.295428101940	267.582617625934
150	257	160.779914084169	254.823975813932
208	287	218.986087914173	285.640714631420
258	263	266.561698617213	261.936158154896
266	262	274.580662699432	261.343940741999
328	280	337.726933177843	280.720090468800
342	275	351.708657691664	275.322641373442
384	257	392.940577899219	257.670632455030
453	258	461.041886020113	259.977654884369
68	320	79.9804585992810	317.042702427286
102	300	113.797564499373	297.937871680839
169	306	180.717281156164	304.338627659919
210	299	220.829684571027	297.633662151376
236	299	245.900601258720	297.778156093571
268	298	277.845512576503	297.289466712091
321	326	331.834208343614	325.641955641676
343	320	353.634199989043	320.193455754176
396	333	406.609658836411	333.890292660322
441	327	451.012469583470	329.007046302835
74	370	88.5764258388823	367.954237571411
137	372	150.457662412546	370.489527913135
169	372	181.566327408480	370.143346672735
182	336	194	335
232	356	243.575760726754	354.681614409151
276	349	287.351707730162	348.715391361246
324	350	335.488638457514	350.137506667929
349	337	360.427862218623	337.699767457744
415	352	425	353
440	361	450.480333763176	362.464844439937
93	381	107.585205389421	379.187107896292
122	390	136.710057311162	388.304049605728
178	391	191	390
208	408	221	407
229	398	242	397
289	387	301.186661228003	386.669088098991
313	403	325.904953489433	403.767824853485
366	398	377.895287415940	399.512767107573
403	397	414.245054750500	398.960255509258
433	404	443	406
92	416	107.209811649083	413.891828617331
118	430	133	428
159	437	173.317956957346	435.398118521738
188	435	202	433
229	427	242	426
281	445	294.090224137360	444.151078817954
322	435	335.592908557237	435.640354953842
364	441	377.644345432557	442.424474678581
421	441	433.049115385464	442.144661515556
436	429	447.122910497880	430.542101381048
